FLIGHT,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE
989-LAS-MIA,LAS,MIA,2016-09-01 15:52:00,2016-09-01 20:44:00,2174.0
1567-LAS-LAX,LAS,LAX,2016-09-01 13:25:00,2016-09-01 14:46:00,236.0
1440-LAS-LAX,LAS,LAX,2016-09-01 16:15:00,2016-09-01 17:33:00,236.0
210-LAS-JFK,LAS,JFK,2016-09-01 11:00:00,2016-09-01 16:07:00,2248.0
224-LAS-ORD,LAS,ORD,2016-09-01 18:19:00,2016-09-01 22:00:00,1514.0
1029-LAS-ORD,LAS,ORD,2016-09-01 14:40:00,2016-09-01 18:21:00,1514.0
1584-LAS-PHX,LAS,PHX,2016-09-01 13:10:00,2016-09-01 14:19:00,255.0
2229-LAS-JFK,LAS,JFK,2016-09-01 14:15:00,2016-09-01 19:20:00,2248.0
2395-LAS-DCA,LAS,DCA,2016-09-01 15:55:00,2016-09-01 20:30:00,2089.0
2411-LAS-ORD,LAS,ORD,2016-09-01 12:55:00,2016-09-01 16:34:00,1514.0
2562-LAS-ORD,LAS,ORD,2016-09-01 10:00:00,2016-09-01 13:38:00,1514.0
2497-LAS-LAX,LAS,LAX,2016-09-02 00:48:00,2016-09-02 02:06:00,236.0
420-LAS-DFW,LAS,DFW,2016-09-01 13:50:00,2016-09-01 16:33:00,1055.0
424-LAS-DFW,LAS,DFW,2016-09-01 17:15:00,2016-09-01 20:07:00,1055.0
430-LAS-PHX,LAS,PHX,2016-09-01 19:35:00,2016-09-01 20:49:00,255.0
431-LAS-CLT,LAS,CLT,2016-09-02 01:59:00,2016-09-02 06:07:00,1916.0
1705-LAS-LAX,LAS,LAX,2016-09-01 14:50:00,2016-09-01 16:07:00,236.0
1719-LAS-DFW,LAS,DFW,2016-09-01 09:15:00,2016-09-01 12:00:00,1055.0
1763-LAS-DFW,LAS,DFW,2016-09-01 11:51:00,2016-09-01 14:36:00,1055.0
1767-LAS-DFW,LAS,DFW,2016-09-01 15:25:00,2016-09-01 18:15:00,1055.0
1806-LAS-CLT,LAS,CLT,2016-09-01 12:25:00,2016-09-01 16:47:00,1916.0
1829-LAS-PHX,LAS,PHX,2016-09-01 15:30:00,2016-09-01 16:39:00,255.0
1873-LAS-CLT,LAS,CLT,2016-09-01 16:50:00,2016-09-01 21:09:00,1916.0
1911-LAS-PHX,LAS,PHX,2016-09-02 00:10:00,2016-09-02 01:22:00,255.0
2075-LAS-CLT,LAS,CLT,2016-09-01 14:25:00,2016-09-01 18:47:00,1916.0
2082-LAS-DFW,LAS,DFW,2016-09-01 10:00:00,2016-09-01 12:50:00,1055.0
2098-LAS-DFW,LAS,DFW,2016-09-01 19:35:00,2016-09-01 22:18:00,1055.0
464-LAS-PHX,LAS,PHX,2016-09-01 22:40:00,2016-09-01 23:47:00,255.0
607-LAS-PHL,LAS,PHL,2016-09-02 01:35:00,2016-09-02 06:09:00,2176.0
618-LAS-DFW,LAS,DFW,2016-09-01 21:15:00,2016-09-01 23:50:00,1055.0
654-LAS-PHL,LAS,PHL,2016-09-01 17:10:00,2016-09-01 21:50:00,2176.0
670-LAS-DFW,LAS,DFW,2016-09-01 17:35:00,2016-09-01 20:27:00,1055.0
677-LAS-PHL,LAS,PHL,2016-09-01 09:55:00,2016-09-01 14:40:00,2176.0
734-LAS-PHL,LAS,PHL,2016-09-01 13:25:00,2016-09-01 18:14:00,2176.0
748-LAS-CLT,LAS,CLT,2016-09-01 11:00:00,2016-09-01 15:16:00,1916.0
1650-LAS-PHX,LAS,PHX,2016-09-01 09:45:00,2016-09-01 10:50:00,255.0
1674-LAS-MIA,LAS,MIA,2016-09-02 01:16:00,2016-09-02 06:01:00,2174.0
148-CLT-MIA,CLT,MIA,2016-09-01 09:25:00,2016-09-01 11:32:00,650.0
